x_label;y_label;cl_x;cl_y;hl_x;hl_y;tube_id
49;4;52,844;2,815;19,906;2,815;TUBE.284
51;4;52,031;2,815;20,719;2,815;TUBE.285
53;4;51,219;2,815;21,531;2,815;TUBE.286
55;4;50,406;2,815;22,344;2,815;TUBE.287
57;4;49,594;2,815;23,156;2,815;TUBE.288
59;4;48,781;2,815;23,969;2,815;TUBE.289
61;4;47,969;2,815;24,781;2,815;TUBE.290
63;4;47,156;2,815;25,594;2,815;TUBE.291
65;4;46,344;2,815;26,406;2,815;TUBE.292
67;4;45,531;2,815;27,219;2,815;TUBE.293
69;4;44,719;2,815;28,031;2,815;TUBE.294
71;4;43,906;2,815;28,844;2,815;TUBE.295
73;4;43,094;2,815;29,656;2,815;TUBE.296
75;4;42,281;2,815;30,469;2,815;TUBE.297
77;4;41,469;2,815;31,281;2,815;TUBE.298
79;4;40,656;2,815;32,094;2,815;TUBE.299
81;4;39,844;2,815;32,906;2,815;TUBE.300
83;4;39,031;2,815;33,719;2,815;TUBE.301
85;4;38,219;2,815;34,531;2,815;TUBE.302
87;4;37,406;2,815;35,344;2,815;TUBE.303
89;4;35,344;2,815;37,406;2,815;TUBE.304
91;4;34,531;2,815;38,219;2,815;TUBE.305
93;4;33,719;2,815;39,031;2,815;TUBE.306
95;4;32,906;2,815;39,844;2,815;TUBE.307
97;4;32,094;2,815;40,656;2,815;TUBE.308
99;4;31,281;2,815;41,469;2,815;TUBE.309
101;4;30,469;2,815;42,281;2,815;TUBE.310
103;4;29,656;2,815;43,094;2,815;TUBE.311
105;4;28,844;2,815;43,906;2,815;TUBE.312
107;4;28,031;2,815;44,719;2,815;TUBE.313
109;4;27,219;2,815;45,531;2,815;TUBE.314
111;4;26,406;2,815;46,344;2,815;TUBE.315
113;4;25,594;2,815;47,156;2,815;TUBE.316
115;4;24,781;2,815;47,969;2,815;TUBE.317
117;4;23,969;2,815;48,781;2,815;TUBE.318
119;4;23,156;2,815;49,594;2,815;TUBE.319
121;4;22,344;2,815;50,406;2,815;TUBE.320
123;4;21,531;2,815;51,219;2,815;TUBE.321
125;4;20,719;2,815;52,031;2,815;TUBE.322
127;4;19,906;2,815;52,844;2,815;TUBE.323
129;4;19,094;2,815;53,656;2,815;TUBE.324
131;4;18,281;2,815;54,469;2,815;TUBE.325
133;4;17,469;2,815;55,281;2,815;TUBE.326
135;4;16,656;2,815;56,094;2,815;TUBE.327
137;4;15,844;2,815;56,906;2,815;TUBE.328
139;4;15,031;2,815;57,719;2,815;TUBE.329
141;4;14,219;2,815;58,531;2,815;TUBE.330
143;4;13,406;2,815;59,344;2,815;TUBE.331
145;4;12,594;2,815;60,156;2,815;TUBE.332
147;4;11,781;2,815;60,969;2,815;TUBE.333
149;4;10,969;2,815;61,781;2,815;TUBE.334
151;4;10,156;2,815;62,594;2,815;TUBE.335
153;4;9,344;2,815;63,406;2,815;TUBE.336
155;4;8,531;2,815;64,219;2,815;TUBE.337
157;4;7,719;2,815;65,031;2,815;TUBE.338
159;4;6,906;2,815;65,844;2,815;TUBE.339
161;4;6,094;2,815;66,656;2,815;TUBE.340
163;4;5,281;2,815;67,469;2,815;TUBE.341
165;4;4,469;2,815;68,281;2,815;TUBE.342
167;4;3,656;2,815;69,094;2,815;TUBE.343
169;4;2,844;2,815;69,906;2,815;TUBE.344
171;4;2,031;2,815;70,719;2,815;TUBE.345
173;4;1,219;2,815;71,531;2,815;TUBE.346
2;5;71,938;3,518;0,812;3,518;TUBE.347
4;5;71,125;3,518;1,625;3,518;TUBE.348
6;5;70,312;3,518;2,438;3,518;TUBE.349
8;5;69,5;3,518;3,25;3,518;TUBE.350
10;5;68,688;3,518;4,062;3,518;TUBE.351
12;5;67,875;3,518;4,875;3,518;TUBE.352
14;5;67,062;3,518;5,688;3,518;TUBE.353
16;5;66,25;3,518;6,5;3,518;TUBE.354
18;5;65,438;3,518;7,312;3,518;TUBE.355
20;5;64,625;3,518;8,125;3,518;TUBE.356
22;5;63,812;3,518;8,938;3,518;TUBE.357
24;5;63;3,518;9,75;3,518;TUBE.358
26;5;62,188;3,518;10,562;3,518;TUBE.359
28;5;61,375;3,518;11,375;3,518;TUBE.360
30;5;60,562;3,518;12,188;3,518;TUBE.361
32;5;59,75;3,518;13;3,518;TUBE.362
34;5;58,938;3,518;13,812;3,518;TUBE.363
36;5;58,125;3,518;14,625;3,518;TUBE.364
38;5;57,312;3,518;15,438;3,518;TUBE.365
40;5;56,5;3,518;16,25;3,518;TUBE.366
42;5;55,688;3,518;17,062;3,518;TUBE.367
44;5;54,875;3,518;17,875;3,518;TUBE.368
46;5;54,062;3,518;18,688;3,518;TUBE.369
48;5;53,25;3,518;19,5;3,518;TUBE.370
50;5;52,438;3,518;20,312;3,518;TUBE.371
52;5;51,625;3,518;21,125;3,518;TUBE.372
54;5;50,812;3,518;21,938;3,518;TUBE.373
56;5;50;3,518;22,75;3,518;TUBE.374
58;5;49,188;3,518;23,562;3,518;TUBE.375
60;5;48,375;3,518;24,375;3,518;TUBE.376
62;5;47,562;3,518;25,188;3,518;TUBE.377
